airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type,sentiment
AlaskaAir,9.61311E+17,Wed Feb 07 18:50:05 +0000 2018,RT @AviationISAC: Do you have a #cyber #nofly list? Jessica Ferguson of @AlaskaAir explains why you should. . . and gives a shout out to ISâ€_,4,0,en,,1267943550,,,,neutral
AlaskaAir,9.61311E+17,Wed Feb 07 18:49:09 +0000 2018,@AlaskaAir With the amount my daughter flies solo with you (4-5 trips per year)  I hate that she is unable to accumâ€_ https://t.co/uebERB64OX,0,0,en,,133019849,,,,negative
AlaskaAir,9.61311E+17,Wed Feb 07 18:48:17 +0000 2018,This @alaskaair blog post just reinforces Australia's spot on my travel list!  https://t.co/AbwhEU0WZj via @AlaskaAir,0,0,en,,404251791,,,,negative
AlaskaAir,9.61309E+17,Wed Feb 07 18:43:02 +0000 2018,A former @AlaskaAir pilot has admitted to ferrying customers while drunk. https://t.co/JpNc2AtK6j https://t.co/NsGiek3tDZ,0,0,en,,2369658618,,,,negative
AlaskaAir,9.61309E+17,Wed Feb 07 18:40:41 +0000 2018,RT @AlaskaAir: @uoc We take all threats very seriously. We are reporting this threat to Law Enforcement.,126,0,en,,8.93518E+17,,,,neutral
AlaskaAir,9.61306E+17,Wed Feb 07 18:30:56 +0000 2018,RT @AviationISAC: Do you have a #cyber #nofly list? Jessica Ferguson of @AlaskaAir explains why you should. . . and gives a shout out to ISâ€_,4,0,en,,270908634,,,,neutral
AlaskaAir,9.61305E+17,Wed Feb 07 18:26:23 +0000 2018,RT @giantrace: Try this on for sizeâ€_The first look at the 2018 Scottsdale Giant Race Presented By @AlaskaAir finisher medal! Register and yâ€_,6,0,en,,180433648,,,,neutral
AlaskaAir,9.61303E+17,Wed Feb 07 18:18:07 +0000 2018,RT @single_flyer: If you are an @AlaskaAir  elite flying to Australia  you might want to check out the @Qantas  Lounges https://t.co/xyOcpaâ€_,2,0,en,,24115965,,,,neutral
AlaskaAir,9.61302E+17,Wed Feb 07 18:14:17 +0000 2018,RT @uoc: @AlaskaAir ay fam this is curiouscat,113,0,en,,426140617,,,,neutral
AlaskaAir,9.61302E+17,Wed Feb 07 18:12:22 +0000 2018,RT @uoc: @AlaskaAir ay fam this is curiouscat,113,0,en,,9.40352E+17,,,,neutral
AlaskaAir,9.61301E+17,Wed Feb 07 18:08:59 +0000 2018,RT @AlaskaAir: Next time you are window shopping in Seattle  check out our new uniforms by @LulyYangCouture on display. #FlyFashion https:/â€_,3,0,en,,935986417,,,,negative
AlaskaAir,9.613E+17,Wed Feb 07 18:05:09 +0000 2018,.@TimbersFC extend with shirt sponsor @AlaskaAir  via @Sponsor_Insider. #sponsorship #MLS #sportsbiz https://t.co/lvNb3l0oDc,0,0,en,,8.57292E+17,,,,neutral
AlaskaAir,9.61299E+17,Wed Feb 07 18:01:41 +0000 2018,A clear day over #SF ... @KarlTheFog is on vacation &amp; the albinos (aka San Franciscans like me) are getting a sun bâ€_ https://t.co/qW5GxEpEK0,0,2,en,,16370699,US,San Francisco  CA,city,negative
AlaskaAir,9.61299E+17,Wed Feb 07 18:01:38 +0000 2018,@AlaskaAir is confirmed to attend the @FAPA Pilot Job Fair on 05/02 in LAS. Registration is currently open to all Fâ€_ https://t.co/iMzYW84jAS,0,0,en,,1043234730,,,,neutral
AlaskaAir,9.61299E+17,Wed Feb 07 18:00:15 +0000 2018,Registration for the FAPA Pilot Job Fair on 05/02 in Las Vegas with @AlaskaAir @AtlasAirWW @UPSAirlines and fee waiâ€_ https://t.co/XHk8GGWt8G,0,0,en,,1043234730,,,,positive
